Job Title,Company Name,Location,Experience Level,Years of Experience,Skills & Tools,Min_Exp,Max_Exp
Deputy IT Manager for Infrastructure,Nile University,"Sheikh Zayed, Giza",Manager,8 to 10 years,Information Technology (IT) | Engineering | Networking | Project Management | Software | CCNA | Computer Science | English | Infrastructure | Linux | Management | SQL,8,10
Control Engineer,Activa International,"6th of October, Giza",Experienced (Non-Manager),3 to 7 years,Engineering | control | Automation | Computer Science | Electronics | Management | Project Management | Quality Assurance | Quality Control,3,7
Senior Talent Acquisition Specialist,Egyptian Packaging and P...,"Manial, Cairo",Experienced (Non-Manager),3 to 7 years,Communication | HR | English | Human Resources (HR) | Interviewing | media | Microsoft Office | office | Recruitment | Social Media | Sourcing | Talent acquisition,3,7
Senior Full stack Developer (.Net Core & Angular),BI-Technologies,"New Cairo, Cairo",Experienced (Non-Manager),3 to 6 years,ASP.NET | Software Development | .NET | Information Technology (IT) | Full Stack | Computer Science | Computer Engineering | Database Design | Data Modeling | Process Modeling | ERP | DFD | C# | CSS3 | javaScript | HTML5 | jQuery | Angular | ADO.NET | Entity Framework | SOLID | SolidWorks | .Net Core | Agile Methodologies | SQL Server | Programming | SQL | MVC,3,6
IT Infrastructure Engineer,KAIZEN GENRAL CONTRACTIN...,"Zagazig, Sharqia",Experienced (Non-Manager),3 to 8 years,"Network Administration | IT Infrastructure Administration | Network Security and Cybersecurity | ERP Administration and Support | Computer Science | Technical Support and Troubleshooting | Microsoft 365 | Cloud Services | AI and Workflow Automation | Database, Integration, and Reporting | Vendor and IT Asset Management | Communication and Documentation",3,8
Sales Operations Specialist,Kgroup,"Katameya, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Sales Operations | ERP Sales,0,2
Mid-Level Cloud Native Engineer,"Confidential Company - Maadi, Cairo","Maadi, Cairo",Experienced (Non-Manager),3 to 7 years,Helm | Argo CD | Computer Science | Istio | Git | Information Technology (IT) | Linux | Cilium | Ceph | Vault | Open Policy Agent | Kafka | RabbitMQ | Kubernetes | DevOps,3,7
ClickUp Administrator / Systems & Operations Specialist,United Elite Company    ...,"Cairo, Egypt",Experienced (Non-Manager),2 to 3 years,Information Technology (IT) | Administration | Analysis | Communication | Computer Science | HR | Recruitment | Reporting | Sales,2,3
Middle Data Scientist,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 2 years,Data Analysis | Machine Learning | Statistical Modeling | Data Visualization | Big Data Technologies | Problem Solving | Communication | LLM orchestration tools | Databases | Data Science | AI | Computer Science | Engineering | Information Technology (IT) | MongoDB | Python | NLP | Spark | SQL,2,2
Project Management Engineer,MCV - Obour,"Obour City, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 5 years,Computer Science | Engineering | Information Technology (IT) | Management | Project | Project Management,1,5
Odoo ERP Implementer,K Line Europe,"Cairo, Egypt",Experienced (Non-Manager),3 to 7 years,Computer Science | Information Technology (IT) | Odoo | Odoo ERP | ERP,3,7
Solution Architect,Youxel,"Maadi, Cairo",Manager,10 to 15 years,Solution Architecture | Software Development | ASP.NET Core | Software Engineering | AWS | Azure | Cloud | Computer Engineering | Computer Science | Engineering | Information Technology (IT) | Java,10,15
Operation Engineer Assistant,RISEUP (Endemag for Admi...,"Maadi, Cairo",Experienced (Non-Manager),More than 3 years,Engineering | Management | SQL | Communication | Computer Science | Information Technology (IT) | Data Analysis | Microsoft SQL Server | AI | Workforce Administration | Vendor Management,3,3
Odoo Developer,"Confidential Company - Mokattam, Cairo","Mokattam, Cairo",Experienced (Non-Manager),2 to 4 years,Information Technology (IT) | Odoo | Computer Science | CSS | Engineering | HTML | JavaScript | PostgreSQL | Python | Software Engineering | SQL | XML,2,4
ERP Application Support,Ibn Sina Pharma,"New Cairo, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Application Support | Computer Science | Customer Support | ERP Application | Information Technology (IT) | ERP | Troubleshooting | System Administration | Database Management | Problem Solving | Communication Skills | SQL | Process Improvement | ITIL | Database | Technical Support,1,3
Junior Data Analyst,Carina Wear,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),0 to 1 year,Analysis | Computer Science | SQL | Microsoft Excel,0,1
Instrumentation & Control Engineer,Activa International,"6th of October, Giza",Experienced (Non-Manager),3 to 7 years,Engineering | control | Automation | Computer Science | Electronics | Management | Project Management | Quality Assurance | Quality Control,3,7
Mid-level Manual QA Engineer,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 2 years,Manual Testing | Test Case Design | Bug Tracking | Regression Testing | Functional Testing | Analytical Skills | Problem-Solving | Communication | Teamwork | Attention to Detail | API Testing | Computer Science | Information Technology (IT) | Java | QA | Quality Control | Python | Software Development | Testing | SQL,2,2
IT Section Head,MMC for Investment,"Cairo, Egypt",Experienced (Non-Manager),More than 7 years,IT Infrastructure Management | IT Operations Management | Network Administration | Cybersecurity | SIEM | IDS/IPS | VPN | Access Control Systems | endpoint security,7,7
Chemist Operator - (RO),Taqa Water,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 1 year,Chemistry | Operations Support System (OSS) | English,0,1
IT Manager,"Confidential Company - 10th of Ramadan City, Sharqia","10th of Ramadan City, Sharqia",Manager,7 to 12 years,Network Administration | Infrastructure Management | Windows Server | Active Directory | Microsoft Office 365 | Vmware | Hyper-V | TCP/IP | DNS | DHCP | Firewall | Network Security | Cybersecurity | Backup Solutions | Disaster Recovery | ERP System | SQL Server | CCTV System | vLAN | VPN | SAN Storage | IT Service Management | HelpDesk | ITIL | Information Technology (IT),7,12
